game,AAA,critics,user,year
Atelier Shallie: Alchemists of the Dusk Sea,0,76.0,77.0,2015
Atelier Sophie: The Alchemist of the Mysterious Book,0,75.0,79.0,2016
Atelier Totori: The Adventurer of Arland,0,74.0,67.0,2011
Athens 2004,0,65.27,67.0,2004
Atlas Reactor,0,81.0,78.0,2016
Atom Zombie Smasher,0,75.0,71.0,2011
Atomic Ninjas,0,58.0,56.0,2013
Attack of the Earthlings,0,71.0,80.0,2018
Attack of the Movies 3D,0,38.0,17.0,2010
Attack on Pearl Harbor,0,64.0,65.0,2007
Attack on Titan,0,74.0,70.0,2016
Attack on Titan 2,0,76.0,73.0,2018
Attack on Titan: Humanity in Chains,0,49.95,0.0,2015
Attractio,0,58.0,61.0,2016
AudioSurf,0,85.0,88.0,2008
